Year,SERIES,UNIT_MEASURE,Value
2011,Ammonia emissions from agriculture,OOOt,17.564
2012,Ammonia emissions from agriculture,OOOt,18.309
2013,Ammonia emissions from agriculture,OOOt,19.054
2014,Ammonia emissions from agriculture,OOOt,19.799
2015,Ammonia emissions from agriculture,OOOt,20.544
2016,Ammonia emissions from agriculture,OOOt,21.128
2017,Ammonia emissions from agriculture,OOOt,21.712
2018,Ammonia emissions from agriculture,OOOt,22.295
2019,Ammonia emissions from agriculture,OOOt,22.879
2020,Ammonia emissions from agriculture,OOOt,23.463
2021,Ammonia emissions from agriculture,OOOt,23.463
2022,Ammonia emissions from agriculture,OOOt,24.047
