Year,SERIES,Statistički podaci,UNIT_MEASURE,Value
2014,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.35
2015,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.54
2016,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.33
2017,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.52
2018,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.33
2019,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,0.4
2020,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,2.68
2021,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,2.42
2022,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,3.04
2023,"Indeks iskorištenosti vode, plus (WEI+)",Godišnja vrijednost,Postotak,1.83
2014,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.58
2015,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.52
2016,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.43
2017,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.43
2018,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.43
2019,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.39
2020,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,0.98
2021,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,1.46
2022,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,2.13
2023,"Indeks iskorištenosti vode, plus (WEI+)",Četverogodišnji prosjek,Postotak,2.49
