Year,SERIES,AGPRDMET,UNIT_MEASURE,Value
2014,sdg_02_40,TOTAL,PC_UAA,0.0
2015,sdg_02_40,TOTAL,PC_UAA,0.0
2016,sdg_02_40,TOTAL,PC_UAA,0.1
2017,sdg_02_40,TOTAL,PC_UAA,0.1
2018,sdg_02_40,TOTAL,PC_UAA,0.1
2019,sdg_02_40,TOTAL,PC_UAA,0.1
2020,sdg_02_40,TOTAL,PC_UAA,0.1
2021,sdg_02_40,TOTAL,PC_UAA,0.1
2022,sdg_02_40,TOTAL,PC_UAA,0.1
