Year,SERIES,PARTNER,UNIT_MEASURE,Value
2016,sdg_17_10,ODA,PC_GNI,2.6
2017,sdg_17_10,ODA,PC_GNI,2.4
2018,sdg_17_10,ODA,PC_GNI,1.7
2019,sdg_17_10,ODA,PC_GNI,2.3
2020,sdg_17_10,ODA,PC_GNI,2.2
2021,sdg_17_10,ODA,PC_GNI,2.4
2022,sdg_17_10,ODA,PC_GNI,1.2
2023,sdg_17_10,ODA,PC_GNI,1.1
