Year,SERIES,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_08_40,BOTHSEX,Y15-74,PC_ACT,13.4
2022,sdg_08_40,BOTHSEX,Y15-74,PC_ACT,11.4
2023,sdg_08_40,BOTHSEX,Y15-74,PC_ACT,9.6
2024,sdg_08_40,BOTHSEX,Y15-74,PC_ACT,9.0
2025,sdg_08_40,BOTHSEX,Y15-74,PC_ACT,9.1
