Year,SERIES,UNIT_MEASURE,Age,Value
2022,Persons at risk of monetary poverty after social transfers,Percent,All age ranges or no breakdown by age,6.8
2022,Persons at risk of monetary poverty after social transfers,"Per 1,000 population",All age ranges or no breakdown by age,22.4
