Year,SERIES,UNIT_MEASURE,Value
2017,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),9.11
2018,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),10.6
2019,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),10.89
2020,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),10.42
2021,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),10.26
2022,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),8.73
2023,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),8.38
2024,Shares of environmental taxes in total tax revenues,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),8.08
