Year,Value,UNIT_MEASURE,SERIES
2014,16.3,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2015,17.5,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2016,18.1,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2017,17.7,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2018,18.9,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2019,17.0,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2020,19.0,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2021,18.9,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2022,21.5,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
2023,24.7,Defined daily doses (DDD) per thousand inhabitants per day,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
