Year,Value,UNIT_MEASURE,SERIES
2017,9.11,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2018,10.6,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2019,10.89,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2020,10.42,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2021,10.26,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2022,8.73,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2023,8.38,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
2024,8.08,Percentage of total revenues from taxes and social contributions (excluding imputed social contributions),Shares of environmental taxes in total tax revenues
