Year,SERIES,UNIT_MEASURE,Value
2015,Особе у ризику од сиромаштва или социјалне искључености,Проценат,24.0
2016,Особе у ризику од сиромаштва или социјалне искључености,Проценат,23.8
2017,Особе у ризику од сиромаштва или социјалне искључености,Проценат,23.9
2018,Особе у ризику од сиромаштва или социјалне искључености,Проценат,21.9
2019,Особе у ризику од сиромаштва или социјалне искључености,Проценат,21.1
2020,Особе у ризику од сиромаштва или социјалне искључености,Проценат,21.6
2021,Особе у ризику од сиромаштва или социјалне искључености,Проценат,21.7
2022,Особе у ризику од сиромаштва или социјалне искључености,Проценат,21.6
