Year,SERIES,UNIT_MEASURE,Године,Value
2022,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Проценат,Сви старосни распони или нема подјеле по годинама,6.8
2022,Особе у опасности од монетарног сиромаштва након социјалних трансфера,На 1.000 становника,Сви старосни распони или нема подјеле по годинама,22.4
