Year,SERIES,Radna snaga i status zaposlenosti,Godine,UNIT_MEASURE,Value
2021,sdg_05_30,Zaposlene osobe,od 20 do 64 godine,PT,26.9
2022,sdg_05_30,Zaposlene osobe,od 20 do 64 godine,PT,27.7
2023,sdg_05_30,Zaposlene osobe,od 20 do 64 godine,PT,27.4
2024,sdg_05_30,Zaposlene osobe,od 20 do 64 godine,PT,27.6
2025,sdg_05_30,Zaposlene osobe,od 20 do 64 godine,PT,28.3
2021,sdg_05_30,Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,-0.7
2022,sdg_05_30,Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,0.0
2023,sdg_05_30,Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,-0.1
2024,sdg_05_30,Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,-0.4
2025,sdg_05_30,Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,-1.8
2021,sdg_05_30,Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,PT,-2.9
2022,sdg_05_30,Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,PT,-2.8
2023,sdg_05_30,Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,PT,-2.4
2024,sdg_05_30,Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,PT,-2.1
2025,sdg_05_30,Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,PT,-2.0
2021,sdg_05_30,Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,0.2
2022,sdg_05_30,Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,0.4
2023,sdg_05_30,Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,0.5
2024,sdg_05_30,Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,0.2
2025,sdg_05_30,Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,PT,-0.2
