Year,SERIES,Геополитички субјект (партнер),UNIT_MEASURE,Value
2016,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),2.6
2017,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),2.4
2018,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),1.7
2019,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),2.3
2020,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),2.2
2021,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),2.4
2022,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),1.2
2023,Званична развојна помоћ,Примаоци службене развојне помоћи (ОДА) од Одбора за развојну помоћ (ДАЦ),Проценат бруто националног дохотка (БНД),1.1
