Year,SERIES,UNIT_MEASURE,Value
2001,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.2
2004,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.1
2007,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.2
2011,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.2
2015,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.3
2021,"Jaz siromaštva na 8,30 USD dnevno (PKM iz 2021. godinu) (%) - zamjenski indikator",Procenat,0.1
