Year,SERIES,UNIT_MEASURE,Value
2014,Primarna potrošnja energije,Milion tona ekvivalenta nafte,5.9
2015,Primarna potrošnja energije,Milion tona ekvivalenta nafte,6.1
2016,Primarna potrošnja energije,Milion tona ekvivalenta nafte,6.7
2017,Primarna potrošnja energije,Milion tona ekvivalenta nafte,6.7
2018,Primarna potrošnja energije,Milion tona ekvivalenta nafte,7.4
2019,Primarna potrošnja energije,Milion tona ekvivalenta nafte,7.1
2020,Primarna potrošnja energije,Milion tona ekvivalenta nafte,7.0
2021,Primarna potrošnja energije,Milion tona ekvivalenta nafte,7.3
2022,Primarna potrošnja energije,Milion tona ekvivalenta nafte,7.2
2023,Primarna potrošnja energije,Milion tona ekvivalenta nafte,6.9
2024,Primarna potrošnja energije,Milion tona ekvivalenta nafte,6.8
2014,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,1.55
2015,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,1.66
2016,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,1.9
2017,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,1.91
2018,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,2.11
2022,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,2.09
2023,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,2.0
2024,Primarna potrošnja energije,Tone ekvivalenta nafte (TOE) po glavi stanovnika,2.0
