Year,SERIES,UNIT_MEASURE,Value
2014,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Postotak,5.2
2016,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Postotak,5.5
2019,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Postotak,5.5
2014,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Na 1 000 stanovnika,1.2
2016,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Na 1 000 stanovnika,1.5
2019,"Stopa siromaštva prema kriteriju od 6,85 dolara dnevno - zamjenski pokazatelj",Na 1 000 stanovnika,1.6
