Year,SERIES,Kvantil dohotka ili bogatstva,Transferi socijalne skrbi,UNIT_MEASURE,Value
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 1 (najsiromašniji),Opća socijalna skrb (B1-B29),Postotak,15.5
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 1 (najsiromašniji),"Ukupni transferi po osnovi statusa (B6-B23, B25-B29)",Postotak,17.3
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 1 (najsiromašniji),Naknade za civilne osobe s invaliditetom (B18-B20),Postotak,19.8
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 1 (najsiromašniji),Naknade za dječju skrb (B21-B23),Postotak,25.4
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 1 (najsiromašniji),Naknade za socijalnu pomoć (B26-B29),Postotak,40.3
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 2,Opća socijalna skrb (B1-B29),Postotak,18.2
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 2,"Ukupni transferi po osnovi statusa (B6-B23, B25-B29)",Postotak,19.1
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 2,Naknade za civilne osobe s invaliditetom (B18-B20),Postotak,17.2
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 2,Naknade za dječju skrb (B21-B23),Postotak,22.7
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 2,Naknade za socijalnu pomoć (B26-B29),Postotak,21.1
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 3,Opća socijalna skrb (B1-B29),Postotak,19.7
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 3,"Ukupni transferi po osnovi statusa (B6-B23, B25-B29)",Postotak,22.4
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 3,Naknade za civilne osobe s invaliditetom (B18-B20),Postotak,24.4
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 3,Naknade za dječju skrb (B21-B23),Postotak,17.3
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 3,Naknade za socijalnu pomoć (B26-B29),Postotak,11.2
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 4,Opća socijalna skrb (B1-B29),Postotak,21.2
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 4,"Ukupni transferi po osnovi statusa (B6-B23, B25-B29)",Postotak,21.3
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 4,Naknade za civilne osobe s invaliditetom (B18-B20),Postotak,25.5
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 4,Naknade za dječju skrb (B21-B23),Postotak,16.0
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 4,Naknade za socijalnu pomoć (B26-B29),Postotak,5.3
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 5 (najbogatiji),Opća socijalna skrb (B1-B29),Postotak,25.4
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 5 (najbogatiji),"Ukupni transferi po osnovi statusa (B6-B23, B25-B29)",Postotak,20.0
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 5 (najbogatiji),Naknade za civilne osobe s invaliditetom (B18-B20),Postotak,13.0
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 5 (najbogatiji),Naknade za dječju skrb (B21-B23),Postotak,18.6
2011,Osobe u opasnosti od monetarnog siromaštva nakon socijalnih transfera,Kvantil 5 (najbogatiji),Naknade za socijalnu pomoć (B26-B29),Postotak,22.3
