Year,SERIES,Profesionalna pozicija,Spol,UNIT_MEASURE,Value
2018,sdg_05_60,Neizvršni direktori,Žene,Postotak,14.8
2019,sdg_05_60,Neizvršni direktori,Žene,Postotak,17.0
2020,sdg_05_60,Neizvršni direktori,Žene,Postotak,17.0
2021,sdg_05_60,Neizvršni direktori,Žene,Postotak,11.3
2022,sdg_05_60,Neizvršni direktori,Žene,Postotak,13.5
2023,sdg_05_60,Neizvršni direktori,Žene,Postotak,12.5
2018,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,17.8
2019,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,22.0
2020,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,19.8
2021,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,17.2
2022,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,15.5
2023,sdg_05_60,Neizvršni i izvršni direktori,Žene,Postotak,19.6
