Year,SERIES,Radna snaga i status zaposlenosti,Spol,Godine,UNIT_MEASURE,Value
2021,sdg_04_10,Stanovništvo,Oba spola,Od 18 do 24 godine,PT,4.7
2022,sdg_04_10,Stanovništvo,Oba spola,Od 18 do 24 godine,PT,3.6
2023,sdg_04_10,Stanovništvo,Oba spola,Od 18 do 24 godine,PT,4.2
2024,sdg_04_10,Stanovništvo,Oba spola,Od 18 do 24 godine,PT,3.8
2025,sdg_04_10,Stanovništvo,Oba spola,Od 18 do 24 godine,PT,3.0
2021,sdg_04_10,Stanovništvo,Muškarci,Od 18 do 24 godine,PT,4.9
2022,sdg_04_10,Stanovništvo,Muškarci,Od 18 do 24 godine,PT,3.9
2023,sdg_04_10,Stanovništvo,Muškarci,Od 18 do 24 godine,PT,5.2
2024,sdg_04_10,Stanovništvo,Muškarci,Od 18 do 24 godine,PT,5.0
2025,sdg_04_10,Stanovništvo,Muškarci,Od 18 do 24 godine,PT,2.9
2021,sdg_04_10,Stanovništvo,Žene,Od 18 do 24 godine,PT,4.4
2022,sdg_04_10,Stanovništvo,Žene,Od 18 do 24 godine,PT,3.3
2023,sdg_04_10,Stanovništvo,Žene,Od 18 do 24 godine,PT,3.1
2024,sdg_04_10,Stanovništvo,Žene,Od 18 do 24 godine,PT,2.5
2025,sdg_04_10,Stanovništvo,Žene,Od 18 do 24 godine,PT,3.0
2021,sdg_04_10,Zaposlene osobe,Oba spola,Od 18 do 24 godine,PT,1.3
2022,sdg_04_10,Zaposlene osobe,Oba spola,Od 18 do 24 godine,PT,0.7
2023,sdg_04_10,Zaposlene osobe,Oba spola,Od 18 do 24 godine,PT,0.8
2024,sdg_04_10,Zaposlene osobe,Oba spola,Od 18 do 24 godine,PT,0.8
2025,sdg_04_10,Zaposlene osobe,Oba spola,Od 18 do 24 godine,PT,0.6
2021,sdg_04_10,Zaposlene osobe,Muškarci,Od 18 do 24 godine,PT,2.1
2022,sdg_04_10,Zaposlene osobe,Muškarci,Od 18 do 24 godine,PT,1.4
2023,sdg_04_10,Zaposlene osobe,Muškarci,Od 18 do 24 godine,PT,1.4
2024,sdg_04_10,Zaposlene osobe,Muškarci,Od 18 do 24 godine,PT,1.2
2025,sdg_04_10,Zaposlene osobe,Muškarci,Od 18 do 24 godine,PT,
2021,sdg_04_10,Zaposlene osobe,Žene,Od 18 do 24 godine,PT,
2022,sdg_04_10,Zaposlene osobe,Žene,Od 18 do 24 godine,PT,
2023,sdg_04_10,Zaposlene osobe,Žene,Od 18 do 24 godine,PT,
2024,sdg_04_10,Zaposlene osobe,Žene,Od 18 do 24 godine,PT,
2025,sdg_04_10,Zaposlene osobe,Žene,Od 18 do 24 godine,PT,0.8
2021,sdg_04_10,Nezaposlene osobe,Oba spola,Od 18 do 24 godine,PT,3.4
2022,sdg_04_10,Nezaposlene osobe,Oba spola,Od 18 do 24 godine,PT,2.9
2023,sdg_04_10,Nezaposlene osobe,Oba spola,Od 18 do 24 godine,PT,3.3
2024,sdg_04_10,Nezaposlene osobe,Oba spola,Od 18 do 24 godine,PT,3.0
2025,sdg_04_10,Nezaposlene osobe,Oba spola,Od 18 do 24 godine,PT,2.4
2021,sdg_04_10,Nezaposlene osobe,Muškarci,Od 18 do 24 godine,PT,2.8
2022,sdg_04_10,Nezaposlene osobe,Muškarci,Od 18 do 24 godine,PT,2.5
2023,sdg_04_10,Nezaposlene osobe,Muškarci,Od 18 do 24 godine,PT,3.7
2024,sdg_04_10,Nezaposlene osobe,Muškarci,Od 18 do 24 godine,PT,3.8
2025,sdg_04_10,Nezaposlene osobe,Muškarci,Od 18 do 24 godine,PT,2.5
2021,sdg_04_10,Nezaposlene osobe,Žene,Od 18 do 24 godine,PT,3.9
2022,sdg_04_10,Nezaposlene osobe,Žene,Od 18 do 24 godine,PT,3.3
2023,sdg_04_10,Nezaposlene osobe,Žene,Od 18 do 24 godine,PT,2.9
2024,sdg_04_10,Nezaposlene osobe,Žene,Od 18 do 24 godine,PT,2.1
2025,sdg_04_10,Nezaposlene osobe,Žene,Od 18 do 24 godine,PT,2.2
2021,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Oba spola,Od 18 do 24 godine,PT,1.3
2022,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Oba spola,Od 18 do 24 godine,PT,1.0
2023,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Oba spola,Od 18 do 24 godine,PT,1.0
2024,sdg_04_10,Osobe koje bi željele raditi (traže li zaposlenje ili ne),Oba spola,Od 18 do 24 godine,PT,0.8
