Year,Series,UNIT_MEASURE,Godine,Value
2022,Total,Procenat,Svi dobni rasponi ili nema podjele po godinama,6.8
2022,Total,Na 1 000 stanovnika,Svi dobni rasponi ili nema podjele po godinama,22.4
