Year,SERIES,Радна снага и статус запослености,Пол,Године,UNIT_MEASURE,Value
2022,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,Проценат,0.7
2023,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,Проценат,1.3
2024,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,Проценат,1.4
2025,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,Проценат,
2021,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,Проценат,1.3
2022,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,Проценат,1.4
2023,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,Проценат,0.7
2024,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,Проценат,
2025,Рано напуштање образовања и обуке по полу,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,Проценат,
2021,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Оба пола,од 18 до 24 године,Проценат,2.0
2022,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Оба пола,од 18 до 24 године,Проценат,1.9
2023,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Оба пола,од 18 до 24 године,Проценат,2.3
2024,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Оба пола,од 18 до 24 године,Проценат,2.2
2025,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Оба пола,од 18 до 24 године,Проценат,2.0
2021,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Мушкарци,од 18 до 24 године,Проценат,1.4
2022,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Мушкарци,од 18 до 24 године,Проценат,1.8
2023,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Мушкарци,од 18 до 24 године,Проценат,2.4
2024,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Мушкарци,од 18 до 24 године,Проценат,2.3
2025,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Мушкарци,од 18 до 24 године,Проценат,2.0
2021,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Жене,од 18 до 24 године,Проценат,2.7
2022,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Жене,од 18 до 24 године,Проценат,2.0
2023,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Жене,од 18 до 24 године,Проценат,2.2
2024,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Жене,од 18 до 24 године,Проценат,2.0
2025,Рано напуштање образовања и обуке по полу,Особе које не желе да раде,Жене,од 18 до 24 године,Проценат,2.0
