Year,SERIES,UNIT_MEASURE,Value
2010,Нето емисије гасова стаклене баште,Тоне по глави становника,5.55
2011,Нето емисије гасова стаклене баште,Тоне по глави становника,6.35
2012,Нето емисије гасова стаклене баште,Тоне по глави становника,6.03
2013,Нето емисије гасова стаклене баште,Тоне по глави становника,6.03
2014,Нето емисије гасова стаклене баште,Тоне по глави становника,5.42
2015,Нето емисије гасова стаклене баште,Тоне по глави становника,5.25
2016,Нето емисије гасова стаклене баште,Тоне по глави становника,6.26
2017,Нето емисије гасова стаклене баште,Тоне по глави становника,6.46
2018,Нето емисије гасова стаклене баште,Тоне по глави становника,6.52
2019,Нето емисије гасова стаклене баште,Тоне по глави становника,6.22
2020,Нето емисије гасова стаклене баште,Тоне по глави становника,6.31
2021,Нето емисије гасова стаклене баште,Тоне по глави становника,6.55
2022,Нето емисије гасова стаклене баште,Тоне по глави становника,6.47
2023,Нето емисије гасова стаклене баште,Тоне по глави становника,6.24
2024,Нето емисије гасова стаклене баште,Тоне по глави становника,6.14
2010,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,21.15
2011,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,23.75
2012,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,22.14
2013,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,21.8
2014,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,19.31
2015,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,18.46
2016,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,21.73
2017,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,22.15
2018,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,22.08
2019,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,20.81
2020,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,20.83
2021,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,21.27
2022,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,20.74
2023,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,19.88
2024,Нето емисије гасова стаклене баште,Милион тона еквивалента CO2,19.43
