Year,SERIES,Пол,Године,UNIT_MEASURE,Value
2021,Стопа дуготрајне незапослености по полу,Оба пола,Од 15 до 74 године,Проценат становништва у радној снази,13.4
2022,Стопа дуготрајне незапослености по полу,Оба пола,Од 15 до 74 године,Проценат становништва у радној снази,11.4
2023,Стопа дуготрајне незапослености по полу,Оба пола,Од 15 до 74 године,Проценат становништва у радној снази,9.6
2024,Стопа дуготрајне незапослености по полу,Оба пола,Од 15 до 74 године,Проценат становништва у радној снази,9.0
2025,Стопа дуготрајне незапослености по полу,Оба пола,Од 15 до 74 године,Проценат становништва у радној снази,9.1
