Year,SERIES,UNIT_MEASURE,Енергетски биланс,Value
2014,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",24.873
2015,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",26.607
2016,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",25.358
2017,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",23.241
2018,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",35.972
2019,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",37.454
2020,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",39.835
2021,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",36.587
2022,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",39.32
2023,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",40.038
2024,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, укупно",38.524
2014,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.456
2015,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.53
2016,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.525
2017,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.533
2018,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.439
2019,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.396
2020,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.464
2021,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.245
2022,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.311
2023,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.292
2024,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, транспорт",0.281
2014,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",38.394
2015,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",38.726
2016,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",40.829
2017,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",39.564
2018,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",41.498
2019,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",45.482
2020,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",49.308
2021,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",46.42
2022,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",48.521
2023,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",51.667
2024,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, електрична енергија",52.742
2014,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",28.626
2015,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",32.768
2016,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",32.329
2017,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",28.739
2018,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",52.685
2019,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",55.872
2020,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",56.623
2021,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",53.31
2022,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",57.648
2023,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",59.672
2024,Удио обновљиве енергије у укупној коначној потрошњи енергије,Проценат,"Обновљива енергија, гријање и хлађење",56.596
